PiratesID,PlayerName,OrgCode,PrefPos,SplitTypeCode,RAA,RAA_635,AdjProd,ERA,IP,,
E2AAAA20-EC9C-441D-AFA0-24D558FEAA19,"Milner, Hoby",MIL,LHR,EPSvsL,3.91129,27.50767887,1.37031,2.45455,23.26925,,
E2AAAA20-EC9C-441D-AFA0-24D558FEAA19,"Milner, Hoby",MIL,LHR,EPS,4.05855,10.60769968,1.1428,3.35503,59.58337,,
22F15382-19B3-42FE-A110-4D8887AC11CE,"Weiman, Blake",NULL,LHR,EPSvsR,-7.75944,-37.86643993,0.49024,6.55714,28.36715,,
22F15382-19B3-42FE-A110-4D8887AC11CE,"Weiman, Blake",NULL,LHR,EPSvsL,-3.7281,-25.68726801,0.6542,5.82353,20.6675,,
22F15382-19B3-42FE-A110-4D8887AC11CE,"Weiman, Blake",NULL,LHR,EPS,-11.48755,-32.81686706,0.55822,6.24793,49.03465,,
C49FCF66-8825-42FA-84D6-4E6700220F96,"Arias, Frankeli",CWS,LHR,EPSvsR,-0.06155,-61.73764355,0.16885,8.5443,0.12842,,
C49FCF66-8825-42FA-84D6-4E6700220F96,"Arias, Frankeli",CWS,LHR,EPS,-0.08927,-56.68645,0.23689,8.424,0.20319,,
C49FCF66-8825-42FA-84D6-4E6700220F96,"Arias, Frankeli",CWS,LHR,EPSvsL,-0.02772,-47.97024037,0.35428,7.46808,0.0764,,
CB908103-01F1-48DD-A742-7D3E6FD43FAF,"Medina, Norman",NULL,LHR,EPSvsR,-0.08926,-75.02428887,0,9.81817,0.14765,,
CB908103-01F1-48DD-A742-7D3E6FD43FAF,"Medina, Norman",NULL,LHR,EPS,-0.11411,-72.45985,0.02454,9,0.20134,,
CB908103-01F1-48DD-A742-7D3E6FD43FAF,"Medina, Norman",NULL,LHR,EPSvsL,-0.02485,-64.53621529,0.13123,6.75002,0.05369,,
A88CE009-9E3A-4926-942F-ABA771EC78A6,"Hader, Joshua",HOU,LHR,EPSvsR,5.55667,25.60231499,1.34466,2.57143,34.60851,,
A88CE009-9E3A-4926-942F-ABA771EC78A6,"Hader, Joshua",HOU,LHR,EPSvsL,4.30507,35.4080484,1.47667,1.8,19.77629,,
A88CE009-9E3A-4926-942F-ABA771EC78A6,"Hader, Joshua",HOU,LHR,EPS,9.86177,29.12321493,1.39206,2.29091,54.3848,,
33C80C79-9F68-4610-8834-AC97FE17EAF1,"Hanley, Mo",NULL,LHR,EPSvsR,-0.04938,-50.21587688,0.32394,7.63044,0.12814,,
33C80C79-9F68-4610-8834-AC97FE17EAF1,"Hanley, Mo",NULL,LHR,EPSvsL,-0.02761,-46.68197673,0.37164,7.71429,0.078,,
33C80C79-9F68-4610-8834-AC97FE17EAF1,"Hanley, Mo",NULL,LHR,EPS,-0.07699,-48.88865,0.34186,7.66216,0.20614,,
F8ECC5D4-B622-45D6-B54B-D0649398108F,"Lee, Dylan",ATL,LHR,EPSvsR,0.44361,2.267548075,1.03053,3.97895,29.77798,,
