"PiratesID","PlayerName","split","C","1B","2B","3B","SS","LF","CF","RF","DH","Total"
"47DEAFFD-4F56-446B-A802-798056590644","White, Lonnie","vB",0,0,0,0,0,0,0,0.000300000000000001,0,0.000300000000000001
"48B0CDA6-ABEA-40EC-8120-C7EE12CEB3E6","Cruz, Oneil","vB",0,0,0,0,0,0,0.4542,0,0.3275,0.7817
"498A1C60-5504-4B37-B55E-2A9C7603295C","Alfonzo, Omar","vB",0,0,0,0,0,0,0,0,0,0
"4CEB4B6E-F394-4027-B84E-6F02FB0B758A","Joe, Connor","vB",0,0.2214,0,0,0,0.0689,0,0.0249,0.0261,0.3413
"4D26FA77-78AC-4D93-AB10-33B66EE4C570","Dixon, Brenden","vB",0,0,0,0,0,0,0,0,0,0
"50EC0FE4-8960-4188-A1A3-36AAE400E1E3","Yorke, Nicholas","vB",0,0,0.4157,0,0.1532,0.0676,0.0471,0,0,0.6836
"5A8523F2-CE2C-455D-99CD-398A193A2D4B","Bart, Joey","vB",0.1816,0,0,0,0,0,0,0,0.0298,0.2114
"5DF0B280-C557-4E6F-BAE4-2780363A7267","Delgado, Keiner","vB",0,0,0,0,0,0,0,0,0,0
"605B29B6-A799-4365-9DF3-38950881252E","Plaz, Axiel","vB",0.012575,0,0,0,0,0,0,0,0,0.012575
"678A7484-50D4-4305-9442-1B7CA2C48EC1","Palacios, Joshua","vB",0,0,0,0,0,0.1092,0.0308,0.1316,0,0.2716
"68D06A46-DD37-4D89-99B2-0CE91D3ACE4A","Shockley, Dylan","vB",0,0,0,0,0,0,0,0,0,0
"7011D16D-110A-44E7-9035-EE4CF2B47F31","Jarvis, Mike","vB",0,0,0,0,0,0,0,0,0,0
"72F658AD-A5AF-4F85-AA87-A7048ECF9699","Terrero, Enmanuel","vB",0,0,0,0,0,0,0,0,0,0
"747A36B7-D9B9-47D0-B779-76AA657DDAE9","Triolo, Jared","vB",0,0.3656,0.0535,0.0695,0.0398,0,0,0,0,0.5284
"764748EA-31C3-4B4A-86E0-803109CED79C","Berg, Derek","vB",0,0,0,0,0,0,0,0,0,0
"78EEAFE7-DBA4-4F96-9896-D91C716D799B","Nunez, Lennyn","vB",0,0,0,0,0,0,0,0,0,0
"7ACE6FC2-1810-40F1-BE44-DE54B257BC61","Campana, Sergio","vB",0,0,0,0,0,0,0,0,0,0
"84F1F26C-E571-49A0-975D-B462FF94BAC4","Suwinski, Jack","vB",0,0,0,0,0,0.2275,0.0909,0.1904,0,0.5088
"86D4DD35-6065-4C58-B179-142B3EB1F261","Kiner-Falefa, Isiah","vB",0,0,0.1546,0.1485,0.2793,0.000300000000000001,0.0073,0,0,0.59
"8972B2A0-6EC6-4E86-9B0F-BDBA22E01FC3","Davis, Henry","vB",0.2544,0,0,0,0,0,0,0.0098,0.0621,0.3263
"91E52D55-E815-45EB-BF2F-BFBE93FEC5FB","Scherrer, Luke","vB",0,0,0,0,0,0,0,0,0,0
"96EB74FF-47D7-455A-9035-C437140658F9","Peguero, Liover","vB",0,0,0.000900000000000002,0,0.0018,0,0,0,0,0.0027
"9C4A5E1B-EEF2-4F1E-8EEB-A5E424392C04","Johnson, Termarr","vB",0,0,7e-04,0,0.0413,0,0,0,0,0.042
"9EBA4841-31B6-418A-940F-403DCB051683","Jebb, Mitch","vB",0,0,0,0,0,0,0,0,0,0
"A00F0D4C-5055-4972-8FEB-F8A5341D3E27","Gray, Tristan","vB",0,0.0847,0.0021,0,0.054,0,0,0,0,0.1408
"A2F4B30D-2928-4AE4-B04F-9FF5D05056B6","Cheng, Tsung-Che","vB",0,0,0.0154,0,0.0567,0,0,0,0,0.0721
"A470C81E-B887-4500-8937-088182BEC787","Hendrie, Wyatt","vB",0,0,0,0,0,0,0,0,0,0
"A49D124E-9309-415B-8F90-62026B20D292","Brown, Luke","vB",0,0,0,0,0,0,0,0,0,0
"B0334A4A-75F9-43D0-A820-FB2B0798F217","Gonzalez, Tres","vB",0,0,0,0,0,0,0,0,0,0
"B43A2CE1-AF7D-4BA1-A79A-1483ED51DB87","Rivero, Jonathan","vB",0,0,0,0,0,0,0,0,0,0
"B64CE026-9BA7-4E28-944C-482A32EA05AA","Glenn, Jackson","vB",0,0,0,0,0,0,0,0,0,0
"B8DED8F1-AD7B-467B-B872-84913A88FFCE","Gourson, Duce","vB",0,0,0,0,0,0,0,0,0,0
"BA0774C4-01F1-47FA-8A5E-03B1B4B41747","Fraizer, Matthew","vB",0,0,0,0,0,0,0,0,0,0
"BC0CBE2C-6F82-4491-BDC6-3F4F82E3026E","De Los Santos, Yordany","vB",0,0,0,0,0,0,0,0,0,0
"BE3D141B-1544-41F8-BC97-EAC790E212CF","Bins, Carter","vB",0.0252,0,0,0,0,0,0,0,0,0.0252
"C312AFAE-FE8F-4C21-A561-252C26D7EA6C","Toledo, Jeral","vB",0,0,0,0,0,0,0,0,0,0
"C523F1D6-064B-40D2-85AD-54707F92ED3F","Castillo, Jesus","vB",0,0,0,0,0,0,0,0,0,0
"C8C312D9-81DE-4440-ABB7-01B15F38FBE1","Valdez, Esmerlyn","vB",0,0.000299999999999999,0,0,0,0,0,0.0063,0,0.0066
"D041EFCF-8A8E-4D24-A562-D54B77282275","Planchart, Geovanny","vB",0,0,0,0,0,0,0,0,0,0
"D97AA147-B8C5-40ED-8C6D-5ABFEB536DA8","Sosa, Miguel","vB",0,0,0,0,0,0,0,0,0,0
"DB98F74F-7181-4115-9CF0-B1751346EABE","Zorrilla, John","vB",0,0,0,0,0,0,0,0,0,0
"DCD53311-6B0E-45FF-BDAA-C87AFB3FBAB5","De La Cruz, Bryan","vB",0,0,0,0,0,0.0648,0.0424,0.0396,0.0664,0.2132
